site_id,customer_group_name,site_name,site_address,city,state,zip,longitude,latitude,pump_certified,branded,brand,updated_at
3139,CIRCLE_K,Circle K #2741740,2146 N Josey Ln,Carrolton,TX,nan,-96.88921,32.97387,0,null,null,2026-05-26 19:14:34.295015+00
17,CARTER,Chevron Food Mart,1900 E Park Row,Arlington,TX,76010,-97.08007,32.72077,0,null,null,2026-05-26 19:14:30.642483+00
18,CARTER,One Stop Food  Beverage,10560 New Church Rd,Dallas,TX,75201,-96.70262,32.88519,0,null,null,2026-05-26 19:14:30.642483+00
19,CARTER,DRIVERS TRAVEL MART,3101 NORTH FREEWAY,FORT WORTH,TX,75207,-97.32197,32.79992,0,null,null,2026-05-26 19:14:30.642483+00
20,CIRCLE_K,Circle K #2742802,12626 El Dorado Pkwy,Frisco,TX,nan,-96.76865,33.17496,0,null,null,2026-05-26 19:14:30.642483+00
21,CIRCLE_K,Circle K #2741194,27575 Highway 380 E,Aubrey,TX,nan,-96.89836,33.21967,0,null,null,2026-05-26 19:14:30.642483+00
22,CIRCLE_K,Circle K #2741568,3272 Parkwood Blvd,Frisco,TX,nan,-96.81631,33.1065,0,null,null,2026-05-26 19:14:30.642483+00
41,BRAD_HALL,Delta Fuel - WT,6600 W Highway 80,Midland,TX,79706,-102.15948,31.95347,0,null,null,2026-05-26 19:14:30.642483+00
45,BRAD_HALL,Sheppard Express,111 Ave D Bldg 1105,Wichita Falls,TX,76311,-98.51255,33.96755,0,null,null,2026-05-26 19:14:30.642483+00
46,BRAD_HALL,Arnold Oil Co - WT,5812 N FM 1788,Midland,TX,nan,-102.2676,32.01925,0,null,null,2026-05-26 19:14:30.642483+00
47,BRAD_HALL,Cactus Fuel - WT,7316 S County Rd 1270,Midland,TX,79706,-102.18501,31.87131,0,null,null,2026-05-26 19:14:30.642483+00
48,BRAD_HALL,Big D Travel Center,300 N Loop 12,Irving,TX,75061,-96.92016,32.81677,0,null,null,2026-05-26 19:14:30.642483+00
49,BRAD_HALL,Fuelco - WT,9701 West County Rd 154,Midland,TX,79706,-102.19096,31.87601,0,null,null,2026-05-26 19:14:30.642483+00
50,BRAD_HALL,Rolfston Midland Yard - WT,3414 North Country Road,Midland,TX,79706,-101.95336,32.06393,0,null,null,2026-05-26 19:14:30.642483+00
51,BRAD_HALL,Lisa's Chicken #2,2501 Hemphill St,Fort Worth,TX,76110,-97.33123,32.71526,0,null,null,2026-05-26 19:14:30.642483+00
52,BRAD_HALL,Lisa's Chicken #1,2315 NW 24th St,Fort Worth,TX,76164,-97.37524,32.79096,0,null,null,2026-05-26 19:14:30.642483+00
53,BRAD_HALL,Lucky Texan #4,4290 S Beltline Rd,Balch Springs,TX,75180,-96.5872,32.70554,0,null,null,2026-05-26 19:14:30.642483+00
54,BRAD_HALL,Lucky Texan #6,180 Murdock Rd,Dallas,TX,75217,-96.68213,32.71151,0,null,null,2026-05-26 19:14:30.642483+00
55,BRAD_HALL,Blue Streak Transportation - W,7600 E Interstate 20,Midland,TX,79706,-102.17349,31.9349,0,null,null,2026-05-26 19:14:30.642483+00
56,BRAD_HALL,Rolfston Midland,3414 N CR 1130,Midland,TX,79705,-101.9911,32.04693,0,null,null,2026-05-26 19:14:30.642483+00
57,BRAD_HALL,Truck  Travel Weatherford,1118 W Park Ave,Weatherford,TX,76086,-97.81986,32.73048,0,null,null,2026-05-26 19:14:30.642483+00
58,BRAD_HALL,Fox Fuels,4290 s beltline rd,balch springs,TX,75180,-96.5872,32.70554,0,null,null,2026-05-26 19:14:30.642483+00
59,BRAD_HALL,Steagall Oil,3000 N Sylvania Ave,Fort Worth,TX,76111,-97.3074,32.79787,0,null,null,2026-05-26 19:14:30.642483+00
60,BRAD_HALL,Quick Stop Ledbetter,3525 W Ledbetter Dr #A,Dallas,TX,75233,-96.87919,32.69181,0,null,null,2026-05-26 19:14:30.642483+00
61,BRAD_HALL,Star One,2004 FM 917,Joshua,TX,76058,-97.35209,32.45713,0,null,null,2026-05-26 19:14:30.642483+00
62,BRAD_HALL,Cowpokes,2112 Conrad Hilton Blvd,Cisco,TX,76437,-98.97168,32.37551,0,null,null,2026-05-26 19:14:30.642483+00
63,BRAD_HALL,Funky Town,4800 Wichita St,Fort Worth,TX,76119,-97.28113,32.69258,0,null,null,2026-05-26 19:14:30.642483+00
64,BRAD_HALL,Z Mini Mart,4001 Sycamore School Rd,Fort Worth,TX,76133,-97.38043,32.63467,0,null,null,2026-05-26 19:14:30.642483+00
65,BRAD_HALL,Buttermans Grill,1060 FM603,Clyde,TX,79510,-99.56138,32.41015,0,null,null,2026-05-26 19:14:30.642483+00
66,BRAD_HALL,MJO Petro,3100 Las Vegas Trail,FT Worth,TX,76116,-97.46744,32.72837,0,null,null,2026-05-26 19:14:30.642483+00
1043,PETROLEUM_TRADERS,Fedex Freight Inc,1301 Sun Valley Rd,Robinson,TX,76706,-97.16606,31.45253,0,null,null,2026-05-26 19:14:31.899791+00
67,BRAD_HALL,FOX FUELS #4,4290 S Beltline Rd,Balch springs,TX,75180,-96.5872,32.70554,0,null,null,2026-05-26 19:14:30.642483+00
68,BRAD_HALL,FOX FUELS #6,180 Murdock Rd,Dallas,TX,75217,-96.68213,32.71151,0,null,null,2026-05-26 19:14:30.642483+00
69,BRAD_HALL,Fox Fuels #2,3603 MARVIN D LOVE FWY,DALLAS,TX,75224,-96.83938,32.69996,0,null,null,2026-05-26 19:14:30.642483+00
70,BRAD_HALL,Fox Fuels #7,8620 LAKE JUNE ROAD,DALLAS,TX,75217,-96.67239,32.7339,0,null,null,2026-05-26 19:14:30.642483+00
71,BRAD_HALL,Tiger Mart,508 W Henderson St,Cleburne,TX,76033,-97.39268,32.34662,0,null,null,2026-05-26 19:14:30.642483+00
72,BRAD_HALL,Fox Fuesl # 8,5001 S Buckner Blvd,Dallas,TX,75227,-96.68478,32.78528,0,null,null,2026-05-26 19:14:30.642483+00
73,BRAD_HALL,Estes Express(Pump Required),5201 Lone Star Blvd,Forth Worth,TX,76106,-97.34038,32.83771,0,null,null,2026-05-26 19:14:30.642483+00
74,BRAD_HALL,Post Oak Bend Grocery,3688 FM 987,Kaufman,TX,75142,-96.32025,32.62629,0,null,null,2026-05-26 19:14:30.642483+00
75,BRAD_HALL,Tiger Mart #8,1102 E. Henderson St,Cleburne,TX,76031,-97.37186,32.3516,0,null,null,2026-05-26 19:14:30.642483+00
76,BRAD_HALL,Mary's Service Center,2400 Rock Island,Irving,TX,75060,-96.97683,32.81498,0,null,null,2026-05-26 19:14:30.642483+00
77,Campbell_Oil,Mario Sinacola  Sons,10950 Research Rd,Frisco,TX,75033,-96.82879,33.16942,0,null,null,2026-05-26 19:14:30.642483+00
78,Campbell_Oil,Mario Sinacola  Sons,9936 Sam Reynolds Rd,Justin,TX,nan,-97.30412,33.05437,0,null,null,2026-05-26 19:14:30.642483+00
79,CARTER,SHILOH MART,3501 E. PARK BLVD,PLANO,TX,75023,-96.66541,33.03127,0,null,null,2026-05-26 19:14:30.642483+00
80,CARTER,Kwik Mart,9540 Lake June,Dallas,TX,75201,-96.6573,32.73377,0,null,null,2026-05-26 19:14:30.642483+00
81,CARTER,Kwik Mart DS,10201 CF Hawn Freeway,Dalls,TX,75201,-96.64822,32.70057,0,null,null,2026-05-26 19:14:30.642483+00
82,CARTER,Hebron Mart,1009 W Hebron Parkway,Carrollton,TX,75006,-96.91674,33.02019,0,null,null,2026-05-26 19:14:30.642483+00
83,CARTER,Hill Town Beverage #3,867 N Duncanville Rd,Duncanville,TX,75116,-96.90874,32.66409,0,null,null,2026-05-26 19:14:30.642483+00
84,CARTER,Dixie Gas Station,4191 Belt Line Rd,Addison,TX,75001,-96.83931,32.95474,0,null,null,2026-05-26 19:14:30.642483+00
85,CARTER,Corner Store,2434 Beltline Rd,Garland,TX,75040,-96.66477,32.94434,0,null,null,2026-05-26 19:14:30.642483+00
86,CARTER,Checkerd Flag - Arlington,2809 NW Green Oaks,Arlington,TX,76003,-97.17374,32.65757,0,null,null,2026-05-26 19:14:30.642483+00
87,CARTER,Lakeside Beverage,5815 W Arkansas Ln,Arlington,TX,76003,-97.19549,32.70845,0,null,null,2026-05-26 19:14:30.642483+00
88,CARTER,287 Exxon,1201 Martin Luther King Freewa,Ft Worth,TX,76101,-97.29752,32.73188,0,null,null,2026-05-26 19:14:30.642483+00
103,CARTER,Keller Food  Beverage,7100 Rufe Snow Dr,North Richland Hills,TX,76118,-97.23751,32.87547,0,null,null,2026-05-26 19:14:30.642483+00
104,CARTER,Shell of Plano,8601 Ohio Dr,Plano,TX,75023,-96.79719,33.09475,0,null,null,2026-05-26 19:14:30.642483+00
137,CIRCLE_K,Circle K #2742073,4150 Bryant Irving RD,Ft Worth,TX,76109,-97.4123,32.69509,0,null,null,2026-05-26 19:14:30.642483+00
139,CIRCLE_K,Circle K #2742412,1101 N Saginaw Blvd,Saginaw,TX,nan,-97.37921,32.87733,0,null,null,2026-05-26 19:14:30.642483+00
162,DELEK,Dearl's Grocery,9223 Elam Road,Dallas,TX,75217,-96.66172,32.72034,0,null,null,2026-05-26 19:14:30.642483+00
89,CARTER,Lamar Food  Fuel,763 W Lamar BLVD,Arlington,TX,76003,-97.11555,32.76081,0,null,null,2026-05-26 19:14:30.642483+00
1044,PETROLEUM_TRADERS,ARNOLD OIL COMPANY FUELS  LLC,5812 N FM 1788,Midland,TX,79707,-102.2676,32.01925,0,null,null,2026-05-26 19:14:31.899791+00
90,CARTER,Fat Cat Express,4821 S Freeway,Ft Worth,TX,76101,-97.31974,32.67683,0,null,null,2026-05-26 19:14:30.642483+00
91,CARTER,Highway 66 Shell,5311 Boyd Street,Rowlett,TX,75030,-96.56984,32.90522,0,null,null,2026-05-26 19:14:30.642483+00
92,CARTER,One Stop Food Mart,12909 Jupiter Rd,Dalls,TX,75201,-96.68346,32.87193,0,null,null,2026-05-26 19:14:30.642483+00
105,CARTER,Westchester Exxon,4155 S Carrier Pkwy,Grand Prairie,TX,75050,-97.00569,32.67201,0,null,null,2026-05-26 19:14:30.642483+00
180,GPM EMPIRE,A  M 42 (Park In Bev),5014 TEXOMA PARKWAY,DENISON,TX,75020,-96.57216,33.70149,0,null,null,2026-05-26 19:14:30.642483+00
206,GPM EMPIRE,LUCKHANEY ENTERPRISES,100 FORREST HILL,EVERMAN,TX,76104,-97.26983,32.63117,0,null,null,2026-05-26 19:14:30.642483+00
214,GPM EMPIRE,24-7 Convenience Big Zain,8008 S POLK ST,Dallas,TX,75228,-96.83974,32.6495,0,null,null,2026-05-26 19:14:30.642483+00
226,GPM EMPIRE,Seminary - Samay Piya,300 E SEMINARY DR,Fort Worth,TX,76115,-97.32305,32.68404,0,null,null,2026-05-26 19:14:30.642483+00
266,GPM EMPIRE INVENTORY,3584 CST Dallas,4100 14th Street,Plano,TX,75074,-96.65393,33.01347,0,null,null,2026-05-26 19:14:30.642483+00
269,GPM EMPIRE INVENTORY,QW 7504,2001 N CENTRAL EXPRESSWAY,RICHARDSON,TX,75080,-96.71663,32.97589,0,null,null,2026-05-26 19:14:30.642483+00
270,GPM EMPIRE,WHITE SETTLEMENT SHELL,9251 WHITE SETTLEMENT ROAD,FT. WORTH,TX,76108,-97.47494,32.76024,0,null,null,2026-05-26 19:14:30.642483+00
271,GPM EMPIRE,Grab N Go Lewisville,1890 S Old Orchard Lane,Lewisville,TX,75067,-97.02854,33.02117,0,null,null,2026-05-26 19:14:30.642483+00
272,GPM EMPIRE,SPEEDYS MART(Woojooda Inc.(Sh,null,GRAND PRAIRIE,TX,75051,-97.00794,32.73771,0,null,null,2026-05-26 19:14:30.642483+00
274,GPM EMPIRE,RM FOODS,501 W RANDOL MILL RD,ARLINGTON,TX,76011,-97.11174,32.7504,0,null,null,2026-05-26 19:14:30.642483+00
275,GPM EMPIRE INVENTORY,COLONIAL USA 45,1420 S AUSTIN,DENISON,TX,75020,-96.53721,33.7413,0,null,null,2026-05-26 19:14:30.642483+00
276,GPM EMPIRE INVENTORY,COLONIAL USA 41,2007 W TAYLOR ST,SHERMAN,TX,75092,-96.64148,33.65156,0,null,null,2026-05-26 19:14:30.642483+00
277,GPM EMPIRE INVENTORY,COLONIAL USA 50,401 E MAIN STREET,DENISON,TX,75021,-96.53024,33.75541,0,null,null,2026-05-26 19:14:30.642483+00
279,GPM EMPIRE INVENTORY,COLONIAL USA 47,100 N Collins,Howe,TX,75459,-96.61879,33.50712,0,null,null,2026-05-26 19:14:30.642483+00
280,GPM EMPIRE,Rehmani Store Valero,03,Seven Points,TX,75143,37.53785,55.61233,0,null,null,2026-05-26 19:14:30.642483+00
281,GPM EMPIRE,Lombardy Exxon,9702 Brockbank,Dallas,TX,75220,-96.87507,32.86666,0,null,null,2026-05-26 19:14:30.642483+00
282,GPM EMPIRE,KWIK MART  2,1100 N MAIN,EULESS,TX,76039,-97.08233,32.85223,0,null,null,2026-05-26 19:14:30.642483+00
283,GPM EMPIRE,Speedy Mart #7609,601 N Beaton St,Corsicana,TX,75110,-96.46653,32.09835,0,null,null,2026-05-26 19:14:30.642483+00
284,GPM EMPIRE,DAVIDS MAYPEARL (Valero),109 N MAIN,MAYPERL,TX,76064,-97.01296,32.30817,0,null,null,2026-05-26 19:14:30.642483+00
